"id","name","category_id"
"000dea1a-908a-4245-b229-5ba640a1d459","general_retail-type_electronics_and_appliances_retail_margins","32920a1f-19f8-4a5c-9849-6d0e8a299fde"
"0010a662-36b3-412a-a45d-1c1cb4b1bd0a","waste-type_putrescible_waste-disposal_method_incineration","cf9b9066-14a8-4ffc-a453-8052d394560a"
"001350ae-9ba9-49aa-a4cd-cd3f641064d7","wholesale_trade-type_grocery_related_product_wholesalers","1c521391-f96b-4e6b-80d2-73d4f1137833"
"0013a783-15bf-45a9-b867-7d9856b59093","managed_assets_vehicle-vehicle_type_business_travel_car-fuel_source_na-engine_size_na-vehicle_age_na-vehicle_weight_na","4a29213c-89f5-4a69-abf5-d8c4f46d56ee"
"00149b6a-a1d4-440d-aa6f-5ece58e14c70","arable_farming-type_citrus_except_orange_groves","fd9781a3-a775-46ca-af5c-c7066c0605dd"
"001a3ff3-9c5c-41a0-9173-f29b7d8019d4","building_materials-type_cement_cem_ii_b_m_portland_composite_cement-components_28_percent_cement_replacement","f648aadb-00b2-49b1-97e1-6f64a4df28b6"
"001b79fd-d345-4eac-a701-2cce20a44ad0","machinery-type_conveyor_and_conveying_equipment","1eae85de-7001-47cc-b474-4d3e2ecfded1"
"0027467a-3265-4212-b18c-6613f4b9b6cf","cpu-provider_azure-type_d2_d64_v4_d8_v4_cascade_lake","a03c1b4c-f743-41b9-914d-c0952280e08d"
"0027849f-2551-446f-a6dc-eeb3b2d36f4e","arable_farming-type_olive_oil_extra_virgin-origin_region_multi_region","fd9781a3-a775-46ca-af5c-c7066c0605dd"
"002dd1f0-db4f-46cc-a1ca-b39992bf5f0d","sea_freight-vessel_type_tanker-route_type_na-vessel_length_na-tonnage_gt_10000dwt_lt_34999dwt-fuel_source_na","08640fa1-c861-49dc-9c8c-a43e574d71a0"
"00353a66-252d-4c70-b383-a6901f1aabba","timber_forestry-type_wood_reused","96ec9b04-909a-4bda-85b3-25c2f827264b"
"00354120-d983-4421-a53b-39038273e54b","arable_farming-type_onions_leeks-origin_region_global","fd9781a3-a775-46ca-af5c-c7066c0605dd"
"00376836-8e1a-42cd-b3f9-56b39cd65a41","general_retail-type_other_gasoline_stations","32920a1f-19f8-4a5c-9849-6d0e8a299fde"
"003b8847-1bc8-44c6-96c1-b5abccbedd51","fuel-type_gas_diesel_oil_net-fuel_use_na","912aa14c-8806-4b25-89b2-5beb05e7eaab"
"00418e44-c48f-4861-b097-d64ee51fa0ca","cpu-provider_gcp-type_e2_e2_standard_8_haswell","a03c1b4c-f743-41b9-914d-c0952280e08d"
"0041c61b-a969-4853-922e-93b9f3774ea0","passenger_flight-route_type_international-aircraft_type_na-distance_long_haul_gt_3700km-class_business-rf_included-distance_uplift_included","98b77930-85c7-4154-9ffc-56605b96a1f0"
"004fceb0-96e9-4ec9-ba75-09afefb40c47","sea_freight-vessel_type_container-route_type_asia_to_from_middle_east_india-vessel_length_na-tonnage_na-fuel_source_na-distance_uplift_included","08640fa1-c861-49dc-9c8c-a43e574d71a0"
"006dc883-5c0e-4c16-8576-1dbefea8e84b","passenger_vehicle-vehicle_type_car-fuel_source_bev-engine_size_small-vehicle_age_post_2015-vehicle_weight_na","4a29213c-89f5-4a69-abf5-d8c4f46d56ee"
"00709eea-10ec-4eed-8766-4bded61b60b8","consumer_goods-type_composite_wood_floor","be6c26d5-3de6-40b4-a64b-56335aedd22a"
"00710a3a-cd69-48fd-ae78-7a4ac1303b2f","pavement_surfaces-type_permeable_paving","f211d01c-9231-4e98-88e3-93cfbe3c913e"
"0071a041-0939-46ae-a79a-f9505efcd047","networking-provider_gcp_cfe-region_us_west_4","afd2fd85-946c-4d08-a3f2-41501e527c30"
"007ac610-911f-4021-a969-cff0b7d56c29","building_materials-type_concrete_pav1_with_25_percent_ggbs_cement","f648aadb-00b2-49b1-97e1-6f64a4df28b6"
"00887215-d0c5-468d-bc5b-59cb8576f060","communication_services-type_all_other_information_services","6717672d-8700-4780-992f-1c573f1e38f2"
"00896b55-caa8-4a71-8274-eaef69448cad","electrical_equipment-type_electric_continuous_flow_heater_21kw","3ba31c82-d8c2-468d-b5a5-682a40cdc58b"
"0089c110-0acc-4def-ac1e-2b96e2eee817","fugitive_gas-type_r_434a","faa93cb6-b2d2-49dd-8fed-f58d255dc679"
